Положительное_сообщение,Отрицательное_сообщение
почему вчера было так хорошо и почему сегодня так плохо ok.ru/profile/435848767732/album/805686991860/904962193396 ok.ru/profile/435848767732/album/805686991860/896500418548,🤡 скотина! что сказать
они плохо учили историю.,долбоебы 👿 это фэйк
"17/39 ужастное,позор тому кто ставил!!!","пиздаболы, сделали снимок, придумали историю и подали дурачкам через сми"
"толку то, приехал чай попил и уехал","мляяя..фомин..ты издесь умничаешь,чайка помойная...сука..неужели ты думаешь что уже непопробовали через друзей знвкомых?,"
q с о в з о в и ваз zтто ле стнии грежим комментарии поделиться класс людмила баравская купреева о руб тел продам вишню литр бо бобб вб комментарии поделиться класс ф юра резников в куплю ёмкость от боо л тел в бо в ч в комментарии поделиться класс а dагуа в об злравстгуйте полскажите,"🖕 анна склярова (герасименкова) -- защитник я или не не тебе решать, а ты -- точно тупой вонючий тролль и старый пидорас пошёл нах !!!!!!!(tr) 😒"
продам водонагреватель.89235653837,"он сразу подписал себе приговор звание - пустослов и балабол, этот чак норис. как он реализует свою обещалку!? да никак. действительно, что вылез всеми позабытый что бы обосраться пустословием."
то же самое . ищу в инвентаре . не могу найти. как будто бы не дали.,🐷 украина территория 😒 населенная ублюдками👎
вот это достижение:-),"ещё один выблядок:d , давно тебя не видно , жопу рваную зализывал(ch)"
это жфк цска,"утырок,расскажи на какой параше тебя научили таким словам-люди стразу понимают,что ты конченая,безмозглая мразота,как епид говорит"
номер не существует с барнаула в каком часу выезжать будете," вспомни отечественную,вспомни, что сделали фашисты с детьми краснодонцами. ты птичка-долбоёб 😒"
разве граница не закрыта от белорусских креветок и киви?помнится батька уже верещал по этому поводу и вот опять,как пропивал россию этот ублюдок 💩
"мы готовы забрать,только кто хозяин? с кем связаться?!!!!","так что и заткни ебло на счёт того где лучше. простой народ вьебывает на своей земле, а не шастает по планете как проститутка. а вы бляди воду мутите и все вам мало. 😤"
хирург ортопед есть в частном медцентре пегас.,нахуй тут нужен этот заслуженный оленевод володи
"а кто тебя держит? границы открыты, свободного полета и не скули.",ага ..так ноябрь был в прошлом году ..тогда лидка и продала дачу лоханулась ..как пиздит она села в лужу и смылась старая аффца
спасибо. давно хотела приготовить.,"пидерасты! это вместо того, чтобы родину 💩 защищать от западной твари!"
что в городе дров нет?,маразматики 👿 озлобленые:d (md) :(
очень выпадают волосы .какие витамины укрепляют ?,вот это пердильник
и не только! вечер🔥,"🤡 👿 убийца и жиьодер, выкинуть его нахуй"
"будем молиться за вашу доченьку. вам надежды, веры и любви,",я написал твари тому кто херню распростроняет!не правду!
"а хотелось бы получить всю задолженность,но это мечта..","я могу обоссать ваш талмуд и быдлию,и ничего мне за это не будет,еби свою сраку крестом перевёрнутым)"
"тоже поступал :-d﻿. но я уже года три назад была на таком мероприятии. подарки давали, но буквально двум-трем чел.. а так больше болтовни и стараются впарить эти массажные кресла.",этой сволочи давно надо яйца отрезать
с днем рождения красавчик,уебышь пропидорный шавка кремля
они настолько тупые что даже отмазку нормальную придумать не могут,😡 пошел на х-й урод
счастливая бабушка! всего ей доброго!!!:-)﻿:-)﻿:-)﻿,"одна либерасня, или пидорасня, не знаю, что точней. откуда эта мерзость и мразь?"
от судьбы не убежишь.каждого ждёт расплата или награда.,выпните уже этого дэбила
укажите хоть одну страну на планете где этого нет,кто этот лысый долбоёб ? 😤
вы в далматово?,"лошадь дибилойдная! сама не знаешь ,чего хочешь.были у тебя всех мастей и возрастов,но тебе надо и на ёлку влезть и жопу не ободрать."
"со вкусом я не спорю, просто фото не соответствует.","скажи если русские такие вот нищие дебилы, то почему вы едите к русским на заработки?"
...вот и вся жизнь! браво мастер,"🐷 твари,боитесь,закрываете свои рожи,но вас свои же и продадут!!!"
какое оружие. ввести армию .а на границу подогнать с400.и пусть дернутся.авойска невыводить.к черту весь западный мир.хватит болтать.там наш народ русский иневажно с каким паспортом этот народ истенно русский.,"как надоела эта гамадрила с огромным торсом и плоской задницей,а главное,с головой, полной навоза"
уход за клубникой,рашистские выблятки
чтоб меньше с дрона просматривалось массовость мероприятия.власти и так и эток мешают чем могут в сложившихся условиях,конченый дэбил!!!
отличная новость!надеемся скоро попробуем!,"дебилы, кто на детей пялит эти гребаные маски. хотите раньше угробить этих милых созданий? тогда и перчатки резиновые не забудьте, чтобы и ручки искалечить."
не только российский...,какие поля целинные земли пусь осваевает мудак 🤮
а планшеты ремонтируете?,🤢 всё равно когда-то этим тварям и мразям настанет конец. бог есть на свете. он всё-равно рано или поздно расставит всё на свои места
"если это так,то пусть ивенится перед хабаровчанами..по телевидению на всю россию.",слыш гнида попутл?????
но утром кто то нажимает кнопку доброе побережье о сброс утро шеsт соаsт gгоир появится возможность выгодно приобрести желаеое,🖕 ебло такое противное...
сб со ич ф и нца ич вни ич ааса сб ик об очень редкая икона сохрани и ее у себя на странице и она тебя будет оберегать близких и твоих,"зюзюкен пердолен гнилодупчен ,, швайне хитлерошулцман пососанто полизанто 🤢 чубайсорыжефалосс ,.облизанто швайнежулька хамнодупчен у тонькокосорыленко ,, зюзя обрыганто защеканко завудове пистохенн швохенн."
какая цена и где находитесь,🤮 путлер вор .
а где в рецепте морковь? а в описании пишете.,ну и ебанутая же ты блять
чудак- пиши грамотно.а лучше вообще не пиши🤣,охуительный наглец....
